name;rarity;arts
High Dancer May;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/9/9a/Unit_ills_full_40041.png/]
Sage Mimir;1★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/2/2b/Unit_ills_full_50040.png/]
Light Lord Mimir;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/5/52/Unit_ills_full_50041.png/]
Sorceress Lily;1★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/b/b6/Unit_ills_full_60040.png/]
Magician Lily;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/3/3a/Unit_ills_full_60041.png/]
Goblin;1★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/4/41/Unit_ills_full_10050.png/]
Redcap;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/5/53/Unit_ills_full_10051.png/]
Merman;1★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/a/a7/Unit_ills_full_20050.png/]
Sahuagin;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/e/e5/Unit_ills_full_20051.png/]
Mandragora;1★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/b/b8/Unit_ills_full_30050.png/]
Polevik;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/1/11/Unit_ills_full_30051.png/]
Harpy;1★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/8/85/Unit_ills_full_40050.png/]
Aero;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/e/ee/Unit_ills_full_40051.png/]
Angel;1★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/2/20/Unit_ills_full_50050.png/]
Archangel;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/4/48/Unit_ills_full_50051.png/]
Skeleton;1★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/3/38/Unit_ills_full_60050.png/]
Skeleton King;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/d/dd/Unit_ills_full_60051.png/]
Thief Leon;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/8/8f/Unit_ills_full_10061.png/]
Head Thief Leon;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/7/7a/Unit_ills_full_10062.png/]
Pirate Verica;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/e/e9/Unit_ills_full_20061.png/]
Plunderer Verica;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/5/5f/Unit_ills_full_20062.png/]
Bandit Zaza;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/6/65/Unit_ills_full_30061.png/]
Head Bandit Zaza;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/d/d6/Unit_ills_full_30062.png/]
Sky Pirate Grafl;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/1/19/Unit_ills_full_40061.png/]
Sky Boss Grafl;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/e/e5/Unit_ills_full_40062.png/]
Orthos;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/3/33/Unit_ills_full_10071.png/]
Cerberus;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/4/4e/Unit_ills_full_10072.png/]
Ramia;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/6/6b/Unit_ills_full_20071.png/]
Scylla;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/b/b5/Unit_ills_full_20072.png/]
Fairy;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/8/8e/Unit_ills_full_30071.png/]
Titania;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/b/b0/Unit_ills_full_30072.png/]
Minotaur;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/5/55/Unit_ills_full_40071.png/]
Cyclops;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/a/a0/Unit_ills_full_40072.png/]
Unicorn;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/6/66/Unit_ills_full_50060.png/]
Pegasus;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/5/5d/Unit_ills_full_50061.png/]
Medusa;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/4/4e/Unit_ills_full_60061.png/]
Zahhak;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/1/1b/Unit_ills_full_60062.png/]
Salamander;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/b/bc/Unit_ills_full_10081.png/]
Ifrit;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/2/22/Unit_ills_full_10082.png/]
Rantoul;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/2/22/Unit_ills_full_20081.png/]
Legtos;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/a/af/Unit_ills_full_20082.png/]
Trent;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/f/fd/Unit_ills_full_30081.png/]
Ent;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/4/42/Unit_ills_full_30082.png/]
Sylph;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/8/86/Unit_ills_full_40081.png/]
Djin;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/c/cd/Unit_ills_full_40082.png/]
Priestess Maria;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/1/1e/Unit_ills_full_50071.png/]
Angel Maria;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/0/0f/Unit_ills_full_50072.png/]
Lilin;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/6/61/Unit_ills_full_60071.png/]
Succubus;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/6/63/Unit_ills_full_60072.png/]
Firedrake;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/a/a4/Unit_ills_full_10092.png/]
Dragon Graven;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/3/37/Unit_ills_full_10093.png/]
Undine;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/8/81/Unit_ills_full_20092.png/]
Siren;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/1/1a/Unit_ills_full_20093.png/]
Dryad;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/9/9f/Unit_ills_full_30092.png/]
High Elf;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/c/ca/Unit_ills_full_30093.png/]
Thunderbird;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/b/ba/Unit_ills_full_40092.png/]
Great Falcon Ziz;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/c/c3/Unit_ills_full_40093.png/]
Valkyrie;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/2/28/Unit_ills_full_50082.png/]
Sky Hero Athena;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/c/ca/Unit_ills_full_50083.png/]
Vampire;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/a/af/Unit_ills_full_60082.png/]
Lich;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/6/66/Unit_ills_full_60083.png/]
Knight Agni;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/d/d9/Unit_ills_full_10102.png/]
Fire Knight Agni;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/e/eb/Unit_ills_full_10103.png/]
Knight Sergio;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/f/fb/Unit_ills_full_20102.png/]
Ice Ruler Sergio;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/f/f3/Unit_ills_full_20103.png/]
Princess Lidith;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/d/d1/Unit_ills_full_30102.png/]
Queen Lidith;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/3/35/Unit_ills_full_30103.png/]
Sky Knight Falma;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/8/8f/Unit_ills_full_40102.png/]
Sky King Falma;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/8/88/Unit_ills_full_40103.png/]
Cowboy Heidt;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/0/0e/Unit_ills_full_50092.png/]
Holy Shot Heidt;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/3/3c/Unit_ills_full_50093.png/]
Shida;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/9/97/Unit_ills_full_60092.png/]
Garroter Shida;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/f/f0/Unit_ills_full_60093.png/]
Phoenix;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/0/00/Unit_ills_full_10112.png/]
Lava Phoenix;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/0/0a/Unit_ills_full_10113.png/]
God Phoenix;5★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/e/e0/Unit_ills_full_10114.png/]
Leviathan;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/3/33/Unit_ills_full_20112.png/]
Loch Ness;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/b/b2/Unit_ills_full_20113.png/]
Malnaplis;5★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/9/92/Unit_ills_full_20114.png/]
Great Tree Alneu;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/d/d6/Unit_ills_full_30112.png/]
World Tree Altro;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/a/a9/Unit_ills_full_30113.png/]
God Tree Eltri;5★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/e/e1/Unit_ills_full_30114.png/]
Behemoth;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/5/5e/Unit_ills_full_40112.png/]
King Behemoth;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/a/a4/Unit_ills_full_40113.png/]
Alpha Behemoth;5★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/a/ae/Unit_ills_full_40114.png/]
Wyvern;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/6/6e/Unit_ills_full_50102.png/]
Bahamut;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/f/fd/Unit_ills_full_50103.png/]
Rameldria;5★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/f/fe/Unit_ills_full_50104.png/]
Memetes;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/2/29/Unit_ills_full_60102.png/]
Hell King Hades;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/c/c7/Unit_ills_full_60103.png/]
Death God Lodaga;5★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/2/2c/Unit_ills_full_60104.png/]
Lava;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/7/74/Unit_ills_full_10122.png/]
Fire Knight Lava;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/f/f9/Unit_ills_full_10123.png/]
Fire God Lava;5★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/c/ce/Unit_ills_full_10124.png/]
Captain Mega;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/2/23/Unit_ills_full_20122.png/]
War Captain Mega;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/0/04/Unit_ills_full_20123.png/]
Commander Mega;5★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/a/a6/Unit_ills_full_20124.png/]
Gunner Douglas;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/a/af/Unit_ills_full_30122.png/]
Gun King Douglas;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/4/4d/Unit_ills_full_30123.png/]
Gun God Douglas;5★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/c/c3/Unit_ills_full_30124.png/]
Emilia;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/6/65/Unit_ills_full_40122.png/]
Princess Emilia;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/b/b0/Unit_ills_full_40123.png/]
Goddess Emilia;5★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/d/d5/Unit_ills_full_40124.png/]
Knight Will;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/4/49/Unit_ills_full_50112.png/]
Holy Knight Will;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/e/e3/Unit_ills_full_50113.png/]
God Knight Will;5★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/f/fd/Unit_ills_full_50114.png/]
Alice;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/f/fb/Unit_ills_full_60112.png/]
Scythe Alice;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/c/c6/Unit_ills_full_60113.png/]
Scythe God Alice;5★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/7/79/Unit_ills_full_60114.png/]
Fire Nymph;1★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/a/a4/Unit_ills_full_10130.png/]
Water Nymph;1★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/5/51/Unit_ills_full_20130.png/]
Earth Nymph;1★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/f/f5/Unit_ills_full_30130.png/]
Thunder Nymph;1★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/4/46/Unit_ills_full_40130.png/]
Light Nymph;1★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/f/ff/Unit_ills_full_50120.png/]
Dark Nymph;1★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/5/5e/Unit_ills_full_60120.png/]
Fire Spirit;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/6/68/Unit_ills_full_10131.png/]
Water Spirit;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/f/f7/Unit_ills_full_20131.png/]
Earth Spirit;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/6/63/Unit_ills_full_30131.png/]
Thunder Spirit;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/9/90/Unit_ills_full_40131.png/]
Light Spirit;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/e/ee/Unit_ills_full_50121.png/]
Dark Spirit;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/5/5c/Unit_ills_full_60121.png/]
Fire Idol;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/5/54/Unit_ills_full_10132.png/]
Water Idol;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/c/c6/Unit_ills_full_20132.png/]
Earth Idol;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/9/9f/Unit_ills_full_30132.png/]
Thunder Idol;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/6/6b/Unit_ills_full_40132.png/]
Light Idol;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/2/28/Unit_ills_full_50122.png/]
Dark Idol;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/5/51/Unit_ills_full_60122.png/]
Fire Totem;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/1/1a/Unit_ills_full_10133.png/]
Water Totem;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/9/97/Unit_ills_full_20133.png/]
Earth Totem;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/9/94/Unit_ills_full_30133.png/]
Thunder Totem;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/f/ff/Unit_ills_full_40133.png/]
Light Totem;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/2/2a/Unit_ills_full_50123.png/]
Dark Totem;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/f/f8/Unit_ills_full_60123.png/]
Jewel Ghost;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/2/2e/Unit_ills_full_50131.png/]
Jewel King;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/4/4e/Unit_ills_full_50132.png/]
Jewel God;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/2/2f/Unit_ills_full_50133.png/]
Metal Ghost;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/b/bb/Unit_ills_full_60132.png/]
Metal King;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/9/93/Unit_ills_full_60133.png/]
Metal God;5★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/c/c7/Unit_ills_full_60134.png/]
Mimic;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/b/b9/Unit_ills_full_60142.png/]
Bat Mimic;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/9/97/Unit_ills_full_60143.png/]
Blacksmith Galant;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/8/87/Unit_ills_full_10141.png/]
Bruiser Galant;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/8/89/Unit_ills_full_10142.png/]
God Arm Galant;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/e/ed/Unit_ills_full_10143.png/]
Stya;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/1/1a/Unit_ills_full_20141.png/]
Snow Blade Stya;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/0/07/Unit_ills_full_20142.png/]
Frost Queen Stya;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/1/1f/Unit_ills_full_20143.png/]
Boxer Nemia;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/3/3a/Unit_ills_full_30141.png/]
Brawler Nemia;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/e/ed/Unit_ills_full_30142.png/]
Gaia Fist Nemia;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/d/d2/Unit_ills_full_30143.png/]
Zeln;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/c/cf/Unit_ills_full_40141.png/]
Spark Kick Zeln;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/4/42/Unit_ills_full_40142.png/]
Thunder Kick Zeln;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/1/1a/Unit_ills_full_40143.png/]
Traveler Alma;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/5/5c/Unit_ills_full_50141.png/]
Adventurer Alma;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/b/bd/Unit_ills_full_50142.png/]
Hero Alma;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/c/c0/Unit_ills_full_50143.png/]
Ninja Oboro;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/d/df/Unit_ills_full_60151.png/]
Assassin Oboro;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/1/10/Unit_ills_full_60152.png/]
Shadow Oboro;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/3/34/Unit_ills_full_60153.png/]
Lancia;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/7/7d/Unit_ills_full_10152.png/]
Hot Chef Lancia;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/7/71/Unit_ills_full_10153.png/]
Head Chef Lancia;5★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/a/a7/Unit_ills_full_10154.png/]
Elimo;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/9/9f/Unit_ills_full_20152.png/]
Royal Elimo;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/0/0c/Unit_ills_full_20153.png/]
Genius Elimo;5★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/b/b0/Unit_ills_full_20154.png/]
Pixy Leore;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/d/d8/Unit_ills_full_30152.png/]
Pixy Royal Leore;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/a/a2/Unit_ills_full_30153.png/]
Pixy King Leore;5★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/0/0f/Unit_ills_full_30154.png/]
Tinkerer Elulu;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/a/ab/Unit_ills_full_40152.png/]
Inventor Elulu;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/f/f4/Unit_ills_full_40153.png/]
Bolt Mallet Elulu;5★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/8/89/Unit_ills_full_40154.png/]
Knight Aem;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/d/d4/Unit_ills_full_50152.png/]
Champion Aem;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/7/76/Unit_ills_full_50153.png/]
Holy Master Aem;5★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/c/cc/Unit_ills_full_50154.png/]
Lemia;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/3/3b/Unit_ills_full_60162.png/]
Necromancer Lemia;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/f/f4/Unit_ills_full_60163.png/]
